code,product_name,brands,main_category,categories,labels_tags,allergens,ingredients_text,sugars_100g,lactose_100g,polyols_100g,caffeine_100g,nutriscore_grade,nova_group,url,image_url,axes_sensibles,substitution_group,reason
3560071081362,Fusilli de pois cassés,Carrefour,af:fusilli,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Specific products, Pastas, Products for specific diets, Cereal pastas, Products without gluten, Dry pastas, Durum wheat pasta, Gluten-free pasta, Fusilli, en:gluten-free-dry-pasta","en:no-gluten,en:vegetarian,en:no-artificial-flavors,en:source-of-fibre,en:source-of-proteins,en:vegan,en:european-vegetarian-union,en:european-vegetarian-union-vegan,en:green-dot,en:high-fibres,en:high-proteins,en:made-in-italy,en:no-artificial-colors,en:no-colorings,en:nutriscore,en:nutriscore-grade-a,fr:tidy-man",,Farine de pois cassés 100%.,2.4,,,,a,1,http://world-en.openfoodfacts.org/product/3560071081362/fusilli-de-pois-casses-carrefour,https://images.openfoodfacts.org/images/products/356/007/108/1362/front_fr.101.400.jpg,gluten|legumineuses,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
8594155023318,Crispins Cizrnové lívanečky,extrudo,cs:polotovar,"en:Crêpes and galettes, en:Pancakes, Lívance, Polotovar","en:vegetarian,en:no-gluten,en:crossed-grain-trademark,en:source-of-fibre,en:vegan,en:dzg-gluten-free,en:high-fibres",en:lupin,"Sušený bramborový škrob, cizrnová mouka 35,5%, cukr, kukuřičná mouka, vanilkový cukr (cukr, vanilka 1,5 %), sušené droždí, sůl.",20,,,,c,3,http://world-en.openfoodfacts.org/product/8594155023318/crispins-cizrnove-livane%C4%8Dky-extrudo,https://images.openfoodfacts.org/images/products/859/415/502/3318/front_en.4.400.jpg,gluten|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
4104420095045,Soja Reis Drink Natur,"Alnatura, Alnatura GmbH",de:drink-mischungen,"Getränke und Getränkezubereitungen, Pflanzliche Lebensmittel und Getränke, Getränke, Pflanzliche Lebensmittel, Hülsenfrüchte und Hülsenfruchtprodukte, en:Dairy substitutes, Milchersatz, Pflanzliche Getränke, Pflanzenmilch, Hülsenfruchtmilch, Sojamilch, Drink Mischungen","en:vegetarian,en:no-gluten,en:organic,en:crossed-grain-trademark,en:eu-organic,en:non-eu-agriculture,en:vegan,de:bio-7-initiative,de:eg-öko-verordnung,en:de-oko-001,en:de-oko-013,en:dzg-gluten-free,en:eu-agriculture,en:eu-non-eu-agriculture,en:fsc,en:fsc-mix,en:no-lactose,en:the-vegan-society,de:bio-label-german,de:vegan-society-vegan-logo",en:soybeans,"Wasser, SOJABOHNEN* 5,5 %, Reis* 5,3 %, Meersalz *aus biologischer Landwirtschaft",4.1,,,,c,3,http://world-en.openfoodfacts.org/product/4104420095045/soja-reis-drink-natur-alnatura,https://images.openfoodfacts.org/images/products/410/442/009/5045/front_en.50.400.jpg,gluten|lactose|cafeine,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
7640164291413,Spaghetti à base de soja vert,Explore Cuisine,de:edamame-nudeln,"de:Edamame Nudeln, en:pastas","en:no-gluten,en:organic,en:vegetarian,en:eu-organic,en:non-eu-agriculture,en:vegan,en:cn-bio-141",,Edamame Bohnenmehl,6.1,,,,a,1,http://world-en.openfoodfacts.org/product/7640164291413/spaghetti-a-base-de-soja-vert-explore-cuisine,https://images.openfoodfacts.org/images/products/764/016/429/1413/front_fr.28.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
4104420184497,Quinoaflocken,"Alnatura, Alnatura GmbH",de:flocken-flockenmisch,"Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frühstücke, Getreide und Kartoffeln, Samen, Getreideprodukte, Frühstückscerealien, Getreidekörner, Getreideflocken, Frühstücksflocken, Gerollte Flocken, Quinoa, Quinoaflocken, Flocken/Flockenmisch","en:no-gluten,en:organic,en:eu-organic,en:non-eu-agriculture,en:de-oko-001,de:bio-label-german,de:dgz-gluten-free",en:lupin,"Quinoaflocken* *aus biologischer Landwirtschaft Kann Spuren von Soja, Milch, Mandel, Nüssen, Sesam und Lupine enthalten.",0.5,,,,a,1,http://world-en.openfoodfacts.org/product/4104420184497/quinoaflocken-alnatura,https://images.openfoodfacts.org/images/products/410/442/018/4497/front_en.44.400.jpg,gluten|legumineuses,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
4011800803810,"Himbeere, Extra",Schwartau,de:fruchtkonfitüren,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Petit-déjeuners, Produits à tartiner, Fruits et produits dérivés, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures, Confitures de fruits rouges, Confitures de framboises, de:Fruchtkonfitüren","en:no-gluten,en:vegetarian,en:vegan",,"Himbeer-Konfitüre extra Hergestellt aus 50 g Früchten je 100 g Zutaten: Himbeeren, Zucker, Zitronensaftkonzentrat, Geliermittel Pektin (aus Früchten)",51.7,,,,d,4,http://world-en.openfoodfacts.org/product/4011800803810/himbeere-extra-schwartau,https://images.openfoodfacts.org/images/products/401/180/080/3810/front_fr.4.400.jpg,gluten|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
4104420081468,Reisflocken,"Alnatura, Alnatura GmbH",de:getreidebreie,"Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frühstücke, Getreide und Kartoffeln, Getreideprodukte, Frühstückscerealien, Getreideflocken, Frühstücksflocken, Gerollte Flocken, Reisflocken, Babykost ( Nach dem 4. Monat ), Getreidebreie","en:no-gluten,en:organic,en:eu-organic,en:no-preservatives,de:bio-7-initiative,de:eg-öko-verordnung,en:de-oko-001,en:no-colorings,en:no-flavors,en:no-milk,de:bio-label-german,de:dgz-gluten-free,de:ohne-zuckerusatz,de:rumänische-landwirtschaft",,"Reisvollkornmehl*, Thiamin (Vitamin B1) *aus biologischer Landwirtschaft.",0.9,,,,a,1,http://world-en.openfoodfacts.org/product/4104420081468/reisflocken-alnatura,https://images.openfoodfacts.org/images/products/410/442/008/1468/front_de.36.400.jpg,gluten|lactose,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
4104420095120,Soja Drink Vanille,"Alnatura, Alnatura GmbH",de:hülsenfrüchtedrinks,"Getränke und Getränkezubereitungen, Pflanzliche Lebensmittel und Getränke, Getränke, Pflanzliche Lebensmittel, Hülsenfrüchte und Hülsenfruchtprodukte, en:Dairy substitutes, Milchersatz, Pflanzliche Getränke, Pflanzenmilch, Hülsenfruchtmilch, Sojamilch, en:Soy drinks flavoured with sugar, Gezuckerte Getränke, Vanille-Soja-Milch, Hülsenfrüchtedrinks","en:vegetarian,en:no-gluten,en:organic,en:eu-organic,en:non-eu-agriculture,en:source-of-proteins,en:vegan,de:bio-7-initiative,de:eg-öko-verordnung,en:de-oko-001,en:de-oko-013,en:eu-agriculture,en:eu-non-eu-agriculture,en:fsc,en:fsc-mix,en:high-proteins,en:made-in-germany,en:no-lactose,en:rich-in-vegetable-protein,en:the-vegan-society,de:vegan-society-vegan-logo,de:agriculture-ue-non-ue,de:bio-européen,de:bio-label-german,en:fsc-c014047",en:soybeans,"Wasser, Sojabohnen 8%, Rohrohzucker, Bourbon-Vanilleextrakt, Meersalz",3.8,,,,b,3,http://world-en.openfoodfacts.org/product/4104420095120/soja-drink-vanille-alnatura,https://images.openfoodfacts.org/images/products/410/442/009/5120/front_en.67.400.jpg,gluten|lactose|sucre|cafeine|legumineuses,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
8413567031547,Mazorcas De Maiz Cocido Bio,HuerCasa,de:maiskolben-gekocht,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Graines, Céréales et dérivés, Céréales en grains, Maïs, Maïs doux, Maïs en épi, de:Maiskolben gekocht","en:no-gluten,en:organic,en:eu-organic,en:es-eco-016-cl,de:es-eco-032-cl,fr:es-eco-032-cl",,"Maïs doux, sel, antioxydant, acide citrique",7,,,,b,3,http://world-en.openfoodfacts.org/product/8413567031547/mazorcas-de-maiz-cocido-bio-huercasa,https://images.openfoodfacts.org/images/products/841/356/703/1547/front_fr.51.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
4011800185213,Pflaumenmus,Schwartau,de:pflaumenmus,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Desserts, Produits à tartiner, Fruits et produits dérivés, Compotes, Compotes de prunes, de:Pflaumenmus","en:no-gluten,en:vegetarian,en:vegan",,"Qualitätsgarantie: Für unsere Spezialitäten werden nur erstklassige Früchte ausgewählt und schonend nach traditionellen Rezepten zubereitet. Pflaumenmus, gewürzt Hergestellt aus 150g Früchten je 100g - Lutaten: Pflaumen, Zucker, Säuerungsmittel Citronensäure, Vegam Lakasefa Ohne Zu Farb-und A Nähruent Gewürzmischung. Energie Trotz größter Sorgfalt können vereinzelt Fet daven pes Fensien Obststeine enthalten sein. Kohlen daven Tucke Exwe Sale ATECHLANCE DEUTS Nr1 Meistgekaufte Fruchtaufstrich-Marke, Quelle: AC Nielsen, here Informationen: www.schwartau.de Schwartauer Werke 23608 Bad Schwartau www Nach dem Öffnen im Kühlschramk a Mandestens haltbar bis: ehe Deckel *011300 18",42.1,,,,d,,http://world-en.openfoodfacts.org/product/4011800185213/pflaumenmus-schwartau,https://images.openfoodfacts.org/images/products/401/180/018/5213/front_fr.24.400.jpg,gluten|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
